X_REQ, Y_REQ
0.10500, 15.83209
0.12144, 13.73928
0.14130, 11.92233
0.16441, 10.29803
0.19015, 8.93146
0.21992, 7.80157
0.25589, 6.75025
0.29774, 5.87883
0.34435, 5.11688
0.40311, 4.44312
0.46621, 3.88565
0.54577, 3.38404
0.63504, 2.96104
0.73891, 2.59889
0.86500, 2.27012
1.01260, 1.99355
1.19259, 1.75020
1.40458, 1.53830
1.64426, 1.36054
1.94831, 1.20047
2.29463, 1.06622
2.71894, 0.94592
3.22171, 0.84281
3.81745, 0.75338
4.52335, 0.67526
5.42513, 0.60589
6.39722, 0.54928
7.47977, 0.49924
9.19105, 0.44444
11.09039, 0.40194
13.30138, 0.36475
15.95316, 0.33280
19.13360, 0.30348
22.94810, 0.27804
27.69035, 0.25553
33.41259, 0.23558
40.72659, 0.21530
49.00401, 0.20108
59.77923, 0.18608
73.32888, 0.17308
85.99047, 0.16450
106.95236, 0.15383
129.83858, 0.14591
151.38145, 0.14041
164.45186, 0.13794
193.68403, 0.13212
225.82017, 0.12808
246.80873, 0.12628
292.44703, 0.12232
359.35519, 0.11829
441.57108, 0.11521
536.06072, 0.11251
626.01491, 0.11091
683.09435, 0.10999
809.40780, 0.10834
945.23127, 0.10703
994.59000, 0.10677
